Number,Company,Company URL,Company URL,SAB Link,SAB,Ticker,Whale URL,Crunchbase URL,Venture Funders,Whale URL,Public Holders,# of High Quality Public Holders,Crunchbase URL,Peptide Specialist?,Pitchbook URL
53,Araclon Biotech S.L.,http://www.araclon.com/?lang=en,http://www.araclon.com/?lang=en,http://www.araclon.com/?lang=en,1,,,https://www.crunchbase.com/organization/araclon-biotech/company_financials,1,,,,https://g.vovososo.com/url?q=https://clinicaltrials.gov/ct2/prs-orgs&sa=U&ved=2ahUKEwistP7alOHtAhXKy4sBHd43Avo4ChAWMAV6BAgCEAE&usg=AOvVaw1XYjdgUjMiqakRj1stwwbn,,https://pitchbook.com/profiles/company/108217-90
54,"Araim Pharmaceuticals, Inc.",http://www.araimpharma.com/,http://www.araimpharma.com/,http://araimpharma.com/team-4/,1,,,https://www.crunchbase.com/organization/araim-pharmaceuticals/company_financials,2,,,,https://www.crunchbase.com/organization/araim-pharmaceuticals/company_financials,,https://pitchbook.com/profiles/company/99534-25
55,"Arbor Pharmaceuticals, LLC",https://arborpharma.com/,https://arborpharma.com/,https://arborpharma.com/board/,1,,,https://www.crunchbase.com/organization/arbor-pharmaceuticals,3,,,,https://www.crunchbase.com/organization/arbor-pharmaceuticals,,https://pitchbook.com/profiles/company/42868-00
56,Arch Biopartners Inc.,https://archbiopartners.com/,https://archbiopartners.com/,https://archbiopartners.com/index.php/our-team/our-management,1,ACHFF,https://whalewisdom.com/stock/achff,https://www.crunchbase.com/organization/arch-biopartners/company_financials,1,https://whalewisdom.com/stock/achff,,,https://www.crunchbase.com/organization/arch-biopartners/company_financials,,https://pitchbook.com/profiles/company/59335-03
57,Arecor Ltd.,https://arecor.com/,https://arecor.com/,https://arecor.com/about-arecor/scientific-advisory-board/,2,,,https://www.crunchbase.com/organization/arecor/company_financials,2,,,,https://www.crunchbase.com/organization/arecor/company_financials,,https://pitchbook.com/profiles/company/56701-99
58,"arGentis Pharmaceuticals, LLC ",http://www.argentisrx.com/,http://www.argentisrx.com/,http://www.argentisrx.com/executive-managment.html,1,,,http://crunchbase.com/organization/argentis-pharmaceuticals,1,,,,https://investmentu.com/pre-ipo-investing/,,https://pitchbook.com/profiles/company/56267-02
59,"ArmaGen, Inc.",http://armagen.com/,http://armagen.com/,http://armagen.com/about-armagen/board-of-directors/,1,,,https://www.crunchbase.com/organization/armagen-technologies/company_financials,3,,,,https://www.crunchbase.com/organization/armagen-technologies/company_financials,,https://pitchbook.com/profiles/company/55698-76
60,"Armata Pharmaceuticals, Inc.",https://www.armatapharma.com/,https://www.armatapharma.com/,http://armatapharma.com/about-us/board-of-directors/,1,ARMP,https://whalewisdom.com/stock/armp,https://www.crunchbase.com/organization/c3-jian/company_financials,2,https://whalewisdom.com/stock/armp,,,https://www.crunchbase.com/organization/c3-jian/company_financials,,https://pitchbook.com/profiles/company/53956-36
61,Arrevus Inc. ,https://arrevus.com/,https://arrevus.com/,https://arrevus.com/team/,2,,,https://www.crunchbase.com/organization/arrevus/company_financials,2,,,,https://www.crunchbase.com/organization/arrevus/company_financials,,https://pitchbook.com/profiles/company/181471-60
62,"Arrowhead Pharmaceuticals, Inc.",https://arrowheadpharma.com/,https://arrowheadpharma.com/,https://arrowheadpharma.com/about/#advisory-board-members,2,ARWR,https://whalewisdom.com/stock/arwr,https://www.crunchbase.com/organization/arrowhead-research/company_financials,N/A,https://whalewisdom.com/stock/arwr,,,https://www.crunchbase.com/organization/arrowhead-research/company_financials,,https://pitchbook.com/profiles/company/11093-77
63,"Artery Therapeutics, Inc.",https://www.arterytx.com/,https://www.arterytx.com/,https://www.arterytx.com/,2,,,https://www.arterytx.com/,1,,,,https://www.crunchbase.com/organization/reven-pharmaceuticals,,https://pitchbook.com/profiles/company/134800-21
